profile_size,profile_counts,profile,optimum_value,optimum_count,selected_optimum,uniqueness_radius,local_sensitivity_optimum,local_sensitivity_selected_ranking,smooth_ranking_bound_beta_0_7
0,0 0 0 0 0 0,empty,0,6,ABC,0,0,3,3.0
1,0 0 0 0 0 1,CBA:1,0,1,CBA,1,3,3,3.0
1,0 0 0 0 1 0,CAB:1,0,1,CAB,1,3,2,3.0
1,0 0 0 1 0 0,BCA:1,0,1,BCA,1,3,2,3.0
1,0 0 1 0 0 0,BAC:1,0,1,BAC,1,3,1,3.0
1,0 1 0 0 0 0,ACB:1,0,1,ACB,1,3,1,3.0
1,1 0 0 0 0 0,ABC:1,0,1,ABC,1,3,0,3.0
2,0 0 0 0 0 2,CBA:2,0,1,CBA,2,3,0,1.4897559113742287
2,0 0 0 0 1 1,CAB:1 CBA:1,1,2,CAB,0,2,1,3.0
2,0 0 0 0 2 0,CAB:2,0,1,CAB,2,3,0,1.4897559113742287
2,0 0 0 1 0 1,BCA:1 CBA:1,1,2,BCA,0,2,1,3.0
2,0 0 0 1 1 0,BCA:1 CAB:1,2,3,BCA,0,2,2,3.0
2,0 0 0 2 0 0,BCA:2,0,1,BCA,2,3,0,1.4897559113742287
2,0 0 1 0 0 1,BAC:1 CBA:1,2,3,BAC,0,2,2,3.0
2,0 0 1 0 1 0,BAC:1 CAB:1,3,6,ABC,0,3,3,3.0
2,0 0 1 1 0 0,BAC:1 BCA:1,1,2,BAC,0,2,1,3.0
2,0 0 2 0 0 0,BAC:2,0,1,BAC,2,3,0,1.4897559113742287
2,0 1 0 0 0 1,ACB:1 CBA:1,2,3,ACB,0,2,2,3.0
2,0 1 0 0 1 0,ACB:1 CAB:1,1,2,ACB,0,2,1,3.0
2,0 1 0 1 0 0,ACB:1 BCA:1,3,6,ABC,0,3,3,3.0
2,0 1 1 0 0 0,ACB:1 BAC:1,2,3,ABC,0,2,1,3.0
2,0 2 0 0 0 0,ACB:2,0,1,ACB,2,3,0,1.4897559113742287
2,1 0 0 0 0 1,ABC:1 CBA:1,3,6,ABC,0,3,3,3.0
2,1 0 0 0 1 0,ABC:1 CAB:1,2,3,ABC,0,2,2,3.0
2,1 0 0 1 0 0,ABC:1 BCA:1,2,3,ABC,0,2,2,3.0
2,1 0 1 0 0 0,ABC:1 BAC:1,1,2,ABC,0,2,1,3.0
2,1 1 0 0 0 0,ABC:1 ACB:1,1,2,ABC,0,2,1,3.0
2,2 0 0 0 0 0,ABC:2,0,1,ABC,2,3,0,1.4897559113742287
3,0 0 0 0 0 3,CBA:3,0,1,CBA,3,3,0,0.7397908918248195
3,0 0 0 0 1 2,CAB:1 CBA:2,1,1,CBA,1,3,1,3.0
3,0 0 0 0 2 1,CAB:2 CBA:1,1,1,CAB,1,3,0,3.0
3,0 0 0 0 3 0,CAB:3,0,1,CAB,3,3,0,0.7397908918248195
3,0 0 0 1 0 2,BCA:1 CBA:2,1,1,CBA,1,3,1,3.0
3,0 0 0 1 1 1,BCA:1 CAB:1 CBA:1,2,1,CBA,1,3,1,3.0
3,0 0 0 1 2 0,BCA:1 CAB:2,2,1,CAB,1,3,2,3.0
3,0 0 0 2 0 1,BCA:2 CBA:1,1,1,BCA,1,3,0,3.0
3,0 0 0 2 1 0,BCA:2 CAB:1,2,1,BCA,1,3,0,3.0
3,0 0 0 3 0 0,BCA:3,0,1,BCA,3,3,0,0.7397908918248195
3,0 0 1 0 0 2,BAC:1 CBA:2,2,1,CBA,1,3,2,3.0
3,0 0 1 0 1 1,BAC:1 CAB:1 CBA:1,3,1,CBA,1,3,3,3.0
3,0 0 1 0 2 0,BAC:1 CAB:2,3,1,CAB,1,3,2,3.0
3,0 0 1 1 0 1,BAC:1 BCA:1 CBA:1,2,1,BCA,1,3,1,3.0
3,0 0 1 1 1 0,BAC:1 BCA:1 CAB:1,3,1,BCA,1,3,2,3.0
3,0 0 1 2 0 0,BAC:1 BCA:2,1,1,BCA,1,3,1,3.0
3,0 0 2 0 0 1,BAC:2 CBA:1,2,1,BAC,1,3,0,3.0
3,0 0 2 0 1 0,BAC:2 CAB:1,3,1,BAC,1,3,1,3.0
3,0 0 2 1 0 0,BAC:2 BCA:1,1,1,BAC,1,3,0,3.0
3,0 0 3 0 0 0,BAC:3,0,1,BAC,3,3,0,0.7397908918248195
3,0 1 0 0 0 2,ACB:1 CBA:2,2,1,CBA,1,3,2,3.0
3,0 1 0 0 1 1,ACB:1 CAB:1 CBA:1,2,1,CAB,1,3,1,3.0
3,0 1 0 0 2 0,ACB:1 CAB:2,1,1,CAB,1,3,1,3.0
3,0 1 0 1 0 1,ACB:1 BCA:1 CBA:1,3,1,CBA,1,3,3,3.0
3,0 1 0 1 1 0,ACB:1 BCA:1 CAB:1,3,1,CAB,1,3,2,3.0
3,0 1 0 2 0 0,ACB:1 BCA:2,3,1,BCA,1,3,2,3.0
3,0 1 1 0 0 1,ACB:1 BAC:1 CBA:1,4,3,ACB,0,2,2,3.0
3,0 1 1 0 1 0,ACB:1 BAC:1 CAB:1,3,1,ACB,1,3,1,3.0
3,0 1 1 1 0 0,ACB:1 BAC:1 BCA:1,3,1,BAC,1,3,1,3.0
3,0 1 2 0 0 0,ACB:1 BAC:2,2,1,BAC,1,3,1,3.0
3,0 2 0 0 0 1,ACB:2 CBA:1,2,1,ACB,1,3,0,3.0
3,0 2 0 0 1 0,ACB:2 CAB:1,1,1,ACB,1,3,0,3.0
3,0 2 0 1 0 0,ACB:2 BCA:1,3,1,ACB,1,3,1,3.0
3,0 2 1 0 0 0,ACB:2 BAC:1,2,1,ACB,1,3,1,3.0
3,0 3 0 0 0 0,ACB:3,0,1,ACB,3,3,0,0.7397908918248195
3,1 0 0 0 0 2,ABC:1 CBA:2,3,1,CBA,1,3,3,3.0
3,1 0 0 0 1 1,ABC:1 CAB:1 CBA:1,3,1,CAB,1,3,2,3.0
3,1 0 0 0 2 0,ABC:1 CAB:2,2,1,CAB,1,3,2,3.0
3,1 0 0 1 0 1,ABC:1 BCA:1 CBA:1,3,1,BCA,1,3,2,3.0
3,1 0 0 1 1 0,ABC:1 BCA:1 CAB:1,4,3,ABC,0,2,2,3.0
3,1 0 0 2 0 0,ABC:1 BCA:2,2,1,BCA,1,3,2,3.0
3,1 0 1 0 0 1,ABC:1 BAC:1 CBA:1,3,1,BAC,1,3,1,3.0
3,1 0 1 0 1 0,ABC:1 BAC:1 CAB:1,3,1,ABC,1,3,0,3.0
3,1 0 1 1 0 0,ABC:1 BAC:1 BCA:1,2,1,BAC,1,3,1,3.0
3,1 0 2 0 0 0,ABC:1 BAC:2,1,1,BAC,1,3,1,3.0
